,year,team,topicID,un,cut-off,fnCutoff,pairwiseBiasCut
115,2005.0,THUENT0503,1.0,100.0,40.0,5.0,0.657142857143
116,2005.0,THUENT0503,1.0,100.0,80.0,11.0,0.603425559947
117,2005.0,THUENT0503,1.0,100.0,100.0,13.0,0.538461538462
118,2005.0,THUENT0504,1.0,100.0,10.0,1.0,0.888888888889
119,2005.0,THUENT0504,1.0,100.0,20.0,1.0,0.421052631579
120,2005.0,THUENT0504,1.0,100.0,40.0,5.0,0.657142857143
121,2005.0,THUENT0504,1.0,100.0,80.0,11.0,0.603425559947
122,2005.0,THUENT0504,1.0,100.0,100.0,13.0,0.538461538462
123,2005.0,THUENT0505,1.0,100.0,10.0,1.0,0.888888888889
124,2005.0,THUENT0505,1.0,100.0,20.0,1.0,0.421052631579
125,2005.0,THUENT0505,1.0,100.0,40.0,5.0,0.657142857143
126,2005.0,THUENT0505,1.0,100.0,80.0,11.0,0.603425559947
127,2005.0,THUENT0505,1.0,100.0,100.0,13.0,0.538461538462
128,2005.0,uams05run0,1.0,100.0,10.0,0.0,1.0
129,2005.0,uams05run0,1.0,100.0,20.0,2.0,0.694444444444
130,2005.0,uams05run0,1.0,100.0,40.0,3.0,0.405405405405
131,2005.0,uams05run0,1.0,100.0,80.0,7.0,0.614481409002
132,2005.0,uams05run0,1.0,100.0,100.0,9.0,0.581196581197
133,2005.0,uams05run1,1.0,100.0,10.0,0.0,1.0
134,2005.0,uams05run1,1.0,100.0,20.0,2.0,0.861111111111
135,2005.0,uams05run1,1.0,100.0,40.0,3.0,0.513513513514
136,2005.0,uams05run1,1.0,100.0,80.0,7.0,0.516634050881
137,2005.0,uams05run1,1.0,100.0,100.0,10.0,0.571111111111
138,2005.0,uams05run2,1.0,100.0,10.0,2.0,0.875
139,2005.0,uams05run2,1.0,100.0,20.0,6.0,0.785714285714
140,2005.0,uams05run2,1.0,100.0,40.0,7.0,0.359307359307
141,2005.0,uams05run2,1.0,100.0,80.0,11.0,0.263504611331
142,2005.0,uams05run2,1.0,100.0,100.0,15.0,0.382745098039
143,2005.0,uams05run3,1.0,100.0,10.0,1.0,0.777777777778
144,2005.0,uams05run3,1.0,100.0,20.0,4.0,0.609375
145,2005.0,uams05run3,1.0,100.0,40.0,5.0,0.342857142857
146,2005.0,uams05run3,1.0,100.0,80.0,11.0,0.420289855072
147,2005.0,uams05run3,1.0,100.0,100.0,12.0,0.378787878788
148,2005.0,uams05run4,1.0,100.0,10.0,1.0,1.0
149,2005.0,uams05run4,1.0,100.0,20.0,4.0,0.640625
150,2005.0,uams05run4,1.0,100.0,40.0,5.0,0.411428571429
151,2005.0,uams05run4,1.0,100.0,80.0,11.0,0.434782608696
152,2005.0,uams05run4,1.0,100.0,100.0,12.0,0.392045454545
153,2005.0,uogES05B2,1.0,100.0,10.0,2.0,0.625
154,2005.0,uogES05B2,1.0,100.0,20.0,3.0,0.529411764706
155,2005.0,uogES05B2,1.0,100.0,40.0,4.0,0.409722222222
156,2005.0,uogES05B2,1.0,100.0,80.0,11.0,0.66534914361
157,2005.0,uogES05B2,1.0,100.0,100.0,11.0,0.515832482125
158,2005.0,uogES05CbaDT,1.0,100.0,10.0,1.0,0.111111111111
159,2005.0,uogES05CbaDT,1.0,100.0,20.0,3.0,0.411764705882
160,2005.0,uogES05CbaDT,1.0,100.0,40.0,3.0,0.189189189189
161,2005.0,uogES05CbaDT,1.0,100.0,80.0,6.0,0.391891891892
162,2005.0,uogES05CbaDT,1.0,100.0,100.0,8.0,0.461956521739
163,2005.0,uogES05Cbase,1.0,100.0,10.0,1.0,0.111111111111
164,2005.0,uogES05Cbase,1.0,100.0,20.0,3.0,0.490196078431
165,2005.0,uogES05Cbase,1.0,100.0,40.0,3.0,0.225225225225
166,2005.0,uogES05Cbase,1.0,100.0,80.0,9.0,0.607198748044
167,2005.0,uogES05Cbase,1.0,100.0,100.0,10.0,0.521111111111
168,2005.0,uogES05CbiH,1.0,100.0,10.0,1.0,0.222222222222
169,2005.0,uogES05CbiH,1.0,100.0,20.0,4.0,0.59375
170,2005.0,uogES05CbiH,1.0,100.0,40.0,5.0,0.417142857143
171,2005.0,uogES05CbiH,1.0,100.0,80.0,10.0,0.551428571429
172,2005.0,uogES05CbiH,1.0,100.0,100.0,12.0,0.517992424242
173,2005.0,uogES05Cbis,1.0,100.0,10.0,1.0,0.222222222222
174,2005.0,uogES05Cbis,1.0,100.0,20.0,3.0,0.450980392157
175,2005.0,uogES05Cbis,1.0,100.0,40.0,4.0,0.388888888889
176,2005.0,uogES05Cbis,1.0,100.0,80.0,8.0,0.5
177,2005.0,uogES05Cbis,1.0,100.0,100.0,11.0,0.52808988764
178,2005.0,CNDS01,2.0,100.0,10.0,2.0,0.0
179,2005.0,CNDS01,2.0,100.0,20.0,3.0,0.176470588235
180,2005.0,CNDS01,2.0,100.0,40.0,7.0,0.484848484848
181,2005.0,CNDS01,2.0,100.0,80.0,14.0,0.487012987013
182,2005.0,CNDS01,2.0,100.0,100.0,14.0,0.373754152824
183,2005.0,CNDS02,2.0,6.0,6.0,3.0,0.222222222222
184,2005.0,CNDS03,2.0,100.0,10.0,2.0,0.0
185,2005.0,CNDS03,2.0,100.0,20.0,2.0,0.0
186,2005.0,CNDS03,2.0,100.0,40.0,8.0,0.5625
187,2005.0,CNDS03,2.0,100.0,80.0,13.0,0.464982778416
188,2005.0,CNDS03,2.0,100.0,100.0,18.0,0.523035230352
189,2005.0,CNDS04LC,2.0,100.0,10.0,3.0,0.0952380952381
190,2005.0,CNDS04LC,2.0,100.0,20.0,3.0,0.0392156862745
191,2005.0,CNDS04LC,2.0,100.0,40.0,6.0,0.367647058824
192,2005.0,CNDS04LC,2.0,100.0,80.0,13.0,0.473019517796
193,2005.0,CNDS04LC,2.0,100.0,100.0,17.0,0.49610205528
194,2005.0,CNDS06,2.0,6.0,6.0,3.0,0.222222222222
195,2005.0,DREXEXP1,2.0,96.0,10.0,3.0,0.571428571429
196,2005.0,DREXEXP1,2.0,96.0,20.0,5.0,0.386666666667
197,2005.0,DREXEXP1,2.0,96.0,40.0,11.0,0.564263322884
198,2005.0,DREXEXP1,2.0,96.0,80.0,16.0,0.36328125
199,2005.0,DREXEXP1,2.0,96.0,96.0,17.0,0.331347728965
200,2005.0,DREXEXP2,2.0,99.0,10.0,1.0,0.111111111111
201,2005.0,DREXEXP2,2.0,99.0,20.0,3.0,0.450980392157
202,2005.0,DREXEXP2,2.0,99.0,40.0,4.0,0.368055555556
203,2005.0,DREXEXP2,2.0,99.0,80.0,13.0,0.518943742824
204,2005.0,DREXEXP2,2.0,99.0,99.0,16.0,0.499246987952
205,2005.0,LLEXemails,2.0,100.0,10.0,3.0,0.571428571429
206,2005.0,LLEXemails,2.0,100.0,20.0,5.0,0.493333333333
207,2005.0,LLEXemails,2.0,100.0,40.0,7.0,0.359307359307
208,2005.0,LLEXemails,2.0,100.0,80.0,13.0,0.437428243398
209,2005.0,LLEXemails,2.0,100.0,100.0,15.0,0.416470588235
210,2005.0,MSRA051,2.0,100.0,10.0,3.0,0.0952380952381
211,2005.0,MSRA051,2.0,100.0,20.0,5.0,0.373333333333
212,2005.0,MSRA051,2.0,100.0,40.0,6.0,0.259803921569
213,2005.0,MSRA051,2.0,100.0,80.0,11.0,0.418972332016
214,2005.0,MSRA051,2.0,100.0,100.0,14.0,0.446843853821
215,2005.0,MSRA052,2.0,100.0,10.0,3.0,0.0952380952381
216,2005.0,MSRA052,2.0,100.0,20.0,5.0,0.373333333333
217,2005.0,MSRA052,2.0,100.0,40.0,6.0,0.269607843137
218,2005.0,MSRA052,2.0,100.0,80.0,11.0,0.420289855072
219,2005.0,MSRA052,2.0,100.0,100.0,14.0,0.448504983389
220,2005.0,MSRA053,2.0,100.0,10.0,3.0,0.0952380952381
221,2005.0,MSRA053,2.0,100.0,20.0,5.0,0.373333333333
222,2005.0,MSRA053,2.0,100.0,40.0,6.0,0.259803921569
223,2005.0,MSRA053,2.0,100.0,80.0,11.0,0.418972332016
224,2005.0,MSRA053,2.0,100.0,100.0,14.0,0.446843853821
225,2005.0,MSRA054,2.0,100.0,10.0,3.0,0.0952380952381
226,2005.0,MSRA054,2.0,100.0,20.0,3.0,0.0392156862745
227,2005.0,MSRA054,2.0,100.0,40.0,8.0,0.51171875
228,2005.0,MSRA054,2.0,100.0,80.0,14.0,0.437229437229
229,2005.0,MSRA054,2.0,100.0,100.0,16.0,0.418154761905
230,2005.0,MSRA055,2.0,100.0,10.0,3.0,0.0952380952381
231,2005.0,MSRA055,2.0,100.0,20.0,3.0,0.0392156862745
232,2005.0,MSRA055,2.0,100.0,40.0,8.0,0.51953125
233,2005.0,MSRA055,2.0,100.0,80.0,13.0,0.393800229621
234,2005.0,MSRA055,2.0,100.0,100.0,16.0,0.422619047619
