CSRankingOtherAreas,College Name,Average Count,Facult,Program ID,Program Name,Program Website,Control,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support & Outcomes:5thPercentile,Student Support & Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006",Average Citations per Publication,"Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,Collects Data About Post-Graduation Employment (1=Yes; -1=No),"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Is Student Work Space Provided? (1=Yes; -1=No),Is Health Insurance Provided? (1=Yes; -1=No),Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings,Count of Student Activities
21,University of Pennsylvania,4,9,20036850,Computer and Information Science-SEAS,http://www.cis.upenn.edu/grad/,Private,1,3,9,26,4,18,6,40,10,56,95,117,2.938,N/D,0.824,0.6561,1,0.36383,6.7,0.525,1,0.02778,0.08,0.05455,0.14655,0.49138,13,0.24242,800,0.5,1,1,17,66,38.31999969,0.18,0.59,50,116,22.2,0,0.009259259,0.5,0.5,0,0,3,1,1,3,4,3,3,3,2,3,3,1,1,1,3,3,1,3,17
22,Northeastern University,3.7,15,20031868,Computer Science,http://www.ccs.neu.edu/graduate/degreeprograms/phdcompsci.html,Private,1,2,60,99,56,101,21,85,78,115,60,100,1.605,N/D,0.93586,0,1,0.18952,5.48,0,1,0,0.1875,0.05556,0.12281,0.67273,3.6,0.11111,797.429,0,1,1,17,18,16.09000015,0.06,0.67,16,57,13.6,0.428571429,0.25,0,0,0,0.231,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3,17
23,University of Wisconsin--Madison,3.6,4,20030513,Computer Sciences,http://www.cs.wisc.edu,Public,2,4,10,27,10,51,6,43,47,96,89,116,2.361,N/D,0.86322,1.1346,0.95238,0.19358,6.32,0.35,1,0.03226,0.13889,0.05682,0.16883,0.37662,12.2,0.26531,792.955,0.05263,1,1,17,49,36.65465164,0.2,N/D,36,154,35,0.531468531,0.153846154,0,0.053,0,0.105,3,1,3,3,4,3,1,1,3,3,1,1,3,3,3,2,3,3,17
24,Arizona State University,3.5,5,20034917,Computer Science,http://www.fulton.asu.edu/fulton/departments/sci.php,Public,5,4,25,60,20,65,17,79,22,75,26,59,2.1,N/D,0.83572,0,0.89655,0.35243,5,0.4,1,0.03448,0.10526,0.08571,0.20134,0.7047,11.8,0.22449,787.164,0.125,-1,1,18,49,36.31059265,N/D,N/D,38,149,34,0.52,0.216,0,0.125,0,0.042,3,1,3,1,1,3,1,3,3,3,3,3,1,3,3,3,1,3,18
25,Johns Hopkins University,3.4,8,20056607,Computer Science,http://www.cs.jhu.edu,Private,3,3,46,83,45,84,34,87,9,65,70,107,2.326,N/D,0.62207,0.146,1,0.2181,5.5,0.571,1,0.0625,0.05882,0.08571,0.14103,0.55128,6,0.22727,766.385,0,1,1,10,22,17.80999947,0.36,0.59,17,78,18.8,0.538461538,0.153846154,N/D,N/D,N/D,N/D,2,2,1,N/D,N/D,3,N/D,N/D,N/D,3,N/D,N/D,1,1,3,2,N/D,2,10
26,Northwestern University,3.2,8,20068857,Computer Science,http://www.eecs.northwestern.edu/,Private,2,2,49,88,26,74,22,93,14,79,45,89,1.202,N/D,0.96861,0.3182,1,0.23333,5,0.429,1,0.07692,0,0.19231,0.20833,0.375,3.4,0.3913,787.083,0,1,1,15,23,16.53623772,0.26,0.65,14,48,11.2,0,0.229166667,0.889,0,0,0,3,3,1,1,4,3,3,1,1,3,1,3,N/D,N/D,3,3,3,3,15
27,University of Utah,3,12,20047522,Computer Science,http://www.cs.utah.edu,Public,5,3,33,58,45,84,37,94,8,45,96,119,1.643,N/D,0.77095,0.0489,0.9,0.30381,6.5,0.724,1,0.05556,0.075,0,0.16364,0.48039,5.8,0,776.407,0,-1,1,17,40,37.02999878,0.33,0.55,40,110,16.6,0.545454545,0.118181818,0,0,0.32,0,3,2,1,1,1,3,3,2,1,3,1,N/D,3,3,3,2,3,3,17
28,New York University,2.8,8,20064246,Computer Science,http://www.cs.nyu.edu/web/Academic/Graduate/,Private,1,3,16,45,12,51,7,41,23,82,82,113,1.98,N/D,0.75519,2.1522,1,0.25993,5.33,0.343,1,0,0.09375,0.03704,0.14634,0.60976,9.2,0.0303,795.61,0.1,1,1,17,33,29.29999924,0.15,0.82,32,82,16.2,0.493975904,0.313253012,0,0,0,0,3,1,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3,17
29,University of Texas--Austin,2.7,5,20061472,Computer Sciences,http://www.cs.utexas.edu,Public,4,4,6,22,20,65,6,43,102,119,126,126,2.685,N/D,0.89353,0.5482,0.51852,0.23763,7.3,0.431,1,0,0.09091,0,0.11515,0,14.6,0.32308,789.15,0.03846,1,1,18,65,40.45851517,0.22,0.78,44,201,29.6,0.536723164,0.355932203,0.423,0,0,0,3,1,1,1,2,3,1,3,3,3,1,1,1,3,1,2,3,3,18
29,Princeton University,2.7,10,20032456,Computer Science,http://www.cs.princeton.edu/,Private,1,3,4,14,3,9,3,10,9,53,69,107,2.45,N/D,0.79385,3.7391,1,0.44285,5.6,0.422,1,0,0.14286,0.07317,0.19048,0.44048,11.4,0.15152,796.458,0.23529,1,1,15,33,27.06009865,0.15,0.79,28,84,18.6,0.369047619,0.119047619,0.765,0,0,0,3,1,3,4,4,3,2,1,4,3,3,3,1,1,3,3,1,3,15
