H-index,Name,Organization,Gender,Award and Membership
43,Zvi Galil,Georgia Tech,Male,ACM Fellow| Member of the National Academy of Engineering 
43,Dennis Gannon,Microsoft,Male,ACM Fellow 
43,Michael T. Goodrich,UC Irvine,Male,ACM Fellow| IEEE Technical Achievement Award 
43,Joseph Goguen,UCSD,Male,NA
43,Isabelle Guyon,ClopiNet/ChaLearn,Female,NA
43,Pavol Hell,Simon Fraser U,Male,NA
43,Farnam Jahanian,U Michigan,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
43,Simon Peyton Jones,Microsoft,Male,ACM Fellow 
43,Won Kim,Sung Kyun Kwan University,Male,ACM Fellow 
43,Sung Wing Kin,National U Singapore,Male,NA
43,Butler Lampson,Microsoft,Male,Turing Award| ACM Fellow 
43,Baochun Li,U Toronto,Male,NA
43,Leonid Libkin,U Edinburgh,Male,ACM Fellow 
43,Barbara Liskov,MIT,Female,Turing Award| ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| Member of the American Academy of Arts & Sciences 
43,Michael Luck,King's College London,Male,NA
43,Satoshi Matsuoka,Tokyo Institute of Technology,Male,ACM Fellow 
43,Sharad Mehrotra,UC Irvine,Male,NA
43,Risto Miikkulainen,UT Austin,Male,NA
43,Robin Milner,U Cambridge,Male,Turing Award| ACM Fellow 
43,Nassir Navab,TU Munich and Johns Hopkins U,Male,NA
43,Martha Stone Palmer,Colorado U,Male,NA
43,Sharath Pankanti,IBM Watson,Male,NA
43,Birgit Pfitzmann,IBM Zurich,Male,NA
43,Dragomir Radev,U Michigan,Male,NA
43,Krithi Ramamritham,IIT Bombay,Male,ACM Fellow| IEEE Fellow 
43,Alan Rector,U Manchester,Male,NA
43,Angela Sasse,U College London,Female,NA
43,Shlomo Shamai,Technion,Male,NA
43,Amnon Shashua,Hebrew U,Male,NA
43,Kentaro Toyama,U Michigan,Male,NA
43,Eelco Visser,TU Delft,Male,NA
43,Marilyn Walker,UC Santa Cruz,Female,NA
43,Jonathan Walpole,Portland State U,Male,NA
43,Avi Wigderson,Institute for Advanced Study| Princeton,Male,NA
43,Pierre Wolper,U Liege,Male,NA
43,Limsoon Wong,National U Singapore,Male,NA
43,Andreas Zeller,Saarland U,Male,ACM Fellow 
43,Shlomo Zilberstein,U Mass| Amherst,Male,NA
42,Karl Aberer,EPFL,Male,NA
42,Michael Arbib,USC,Male,NA
42,Barry Boehm,USC,Male,ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering| IEEE Harlan D. Mills Award 
42,John A. Carroll,U Sussex,Male,NA
42,Charles Consel,U Bordeaux and INRIA,Male,NA
42,Ivan Damgard,Aarhus U,Male,IACR Fellow 
42,Luc Devroye,McGill U,Male,NA
42,Alan Dix,U Birmingham,Male,NA
42,Josep Domingo-Ferrer,U Rovira i Virgili| Catalonia,Male,IEEE Fellow 
42,Sorin Draghici,Wayne State U,Male,NA
42,Matthew Dwyer,U Nebraska| Lincoln,Male,NA
42,Keith Edwards,Georgia Tech,Male,NA
42,Wulfram Gerstner,EPFL,Male,NA
42,Gaston H. Gonnet,ETH Zurich,Male,NA
42,Jan Friso Groote,TU Eindhoven,Male,NA
42,MohammadTaghi HajiAghayi,U Maryland,Male,NA
42,Robert Harper,CMU,Male,ACM Fellow 
42,Wynne Hsu,National U Singapore,Male,NA
42,Lawrence Hunter,U Colorado,Male,NA
42,Liviu Iftode,Rutgers,Male,NA
42,Josef Kittler,Surrey U,Male,NA
42,Anna Karlin,U Washington,Female,NA
42,Srinivasan Keshav,U Waterloo,Male,NA
42,Teuvo Kohonen,Academy of Finland,Male,IEEE Frank Rosenblatt Award 
42,Richard E. Ladner,U Washington,Male,NA
42,Seong-Whan Lee,Korea University,Male,IEEE Fellow 
42,Arjen Lenstra,EPFL,Male,IACR Fellow 
42,Miron Livny,U Wisconsin,Male,NA
42,Marco Ajmone Marsan,Politecnico di Torino,Male,IEEE Fellow 
42,Jose Meseguer,UIUC,Male,NA
42,Melanie Mitchell,Portland State University,Male,NA
42,Prasant Mohapatra,UC Davis,Male,IEEE Fellow| AAAS Fellow 
42,Fionn Murtagh,U London,Male,NA
42,Andrew Myers,Cornell,Male,ACM Fellow 
42,Andrew Y. Ng,Stanford,Male,NA
42,Natasha Noy,Stanford,Female,NA
42,Erkki Oja,Helsinki U of Technology,Male,NA
42,Beng Chin Ooi,National U Singapore,Male,ACM Fellow 
42,Katia Obraczka,UCSC,Female,NA
42,Jens Palsberg,UCLA,Male,NA
42,Jignesh Patel,U Wisconsin,Male,ACM Fellow 
42,David Poole,U British Columbia,Male,NA
42,Massimiliano Pontil,U College London,Male,NA
42,William Sanders,UIUC,Male,NA
42,Micha Sharir,Tel Aviv U,Male,ACM Fellow 
42,Thomas Schiex,INRA| Toulouse,Male,NA
42,Eugene Spafford,Purdue U,Male,ACM Fellow| IEEE Technical Achievement Award 
42,Quentin Stout,U Michigan,Male,NA
42,Alexander Vardy,UCSD,Male,IEEE Fellow 
42,Min Wu,U Maryland,Male,IEEE Fellow 
42,Alexander Wolf,Imperial College| London,Male,ACM Fellow 
42,Willy Zwaenepoel,EPFL,Male,ACM Fellow| IEEE Fellow| Member of Academy of Europe (Academia Europaea) 
41,Emile Aarts,TU Eindhoven,Male,NA
41,Manuel Blum,CMU,Male,Turing Award| Member of the National Academy of Engineering| Member of the National Academy of Sciences| IACR Fellow| Member of the American Academy of Arts & Sciences 
41,Alan Borning,U Washington,Male,NA
41,Srdjan Capkun,ETH Zurich,Male,NA
41,Jianer Chen,Texas A&M,Male,NA
41,Ed G. Coffman,Columbia U,Male,ACM Fellow 
41,Joelle Coutaz,U Joseph Fourier| Grenoble,Male,NA
41,Cynthia Dwork,Microsoft,Female,Member of the National Academy of Engineering 
41,Boi Faltings,EPFL,Male,NA
41,Lance Fortnow,Georgia Tech,Male,ACM Fellow 
41,Harold Gabow,U Colorado,Male,ACM Fellow 
41,Patrice Godefroid,Microsoft,Male,NA
41,Luis Gravano,Columbia,Male,NA
41,Robert Grossman,U Chicago,Male,AAAS Fellow 
41,Jonathan Hull,Ricoh,Male,IAPR Fellow 
41,Mary Jane Irwin,Penn State,Female,ACM Fellow| Member of the National Academy of Engineering 
41,Michael Kearns,U Penn,Male,ACM Fellow 
41,David Lowe,U British Columbia,Male,NA
41,Kwan-Liu Ma,UC Davis,Male,NA
41,Jan Mendling,WU Vienna,Male,NA
41,Weiyi Meng,Binghampton U,Male,NA
41,Dale Miller,INRIA,Male,NA
41,Marvin Minsky,MIT,Male,Turing Award 
41,Michael Mozer,U Colorado,Male,NA
41,Ian Munro,U Waterloo,Male,NA
41,Sharon Oviatt,Incaa Designs,Male,NA
41,Stefano Paraboschi,U Bergamo,Male,NA
41,Lawrence C. Paulson,U Cambridge,Male,ACM Fellow 
41,Gian Pietro Picco,U Trento,Male,NA
41,Viktor Prasanna,USC,Male,ACM Fellow| IEEE Fellow 
41,Raimund Seidel,Saarland U,Male,NA
41,Alla Sheffer,U British Columbia,Female,NA
41,Joshua R. Smith,U Washington,Male,NA
41,Aravind Srinivasan,U Maryland,Male,ACM Fellow| IEEE Fellow 
41,Jean-Philippe Thiran,EPFL,Male,NA
41,Sam Toueg,U Toronto,Male,NA
41,Thierry Turletti,INRIA,Male,NA
41,Uzi Vishkin,U Maryland,Male,ACM Fellow 
41,Haixun Wang,Google,Male,NA
41,Ke Wang,Simon Fraser U,Male,NA
41,Manfred K. Warmuth,UC Santa Cruz,Male,NA
41,William Weihl,Facebook,Male,NA
41,Andrew Yao,Tsinghua U,Male,Turing Award| ACM Fellow| IACR Fellow 
41,Eric Yu,U Toronto,Male,NA
41,Feng Zhao,Microsoft,Male,IEEE Fellow 
40,Leonard Adleman,USC,Male,Turing Award 
40,Lars Arge,Aarhus University,Male,ACM Fellow 
40,Andrea Arpaci-Dusseau,U Wisconsin,Male,NA
40,Amotz Bar-Noy,Brooklyn College,Male,NA
40,Craig Chambers,Google,Male,NA
40,Sunghyun Choi,Seoul National U,Male,NA
40,Edmund M. Clarke,CMU,Male,Turing Award| ACM Fellow| IEEE Fellow| Member of the National Academy of Engineering 
40,Jan Chomicki,SUNY Buffalo,Male,NA
40,David Corne,Heriot-Watt University| Edinburgh,Male,NA
40,Edsger Dijkstra,UT Austin,Male,Turing Award 
40,Herbert Edelsbrunner,Duke U,Male,Member of Academy of Europe (Academia Europaea) 
40,Thomas Ertl,U Stuttgart,Male,NA
40,Nick Feamster,Georgia Tech,Male,NA
40,Cormac Flanagan,UCSC,Male,NA
40,Edward Feigenbaum,Stanford,Male,Turing Award| ACM Fellow| AAAI Fellow| Member of the National Academy of Engineering 
40,Ashok Goel,Georgia Tech,Male,NA
40,Venu Govindaraju,U Buffalo,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| IAPR Fellow| SPIE Fellow| IEEE Technical Achievement Award 
40,Manish Gupta,Goldman Sachs,Male,ACM Fellow 
40,Hannes Hartenstein,Karlsruhe Inst Tech,Male,NA
40,Neil D. Jones,DIKU| U Copenhagen,Male,ACM Fellow 
40,Ari Juels,RSA,Male,NA
40,Philipp Koehn,U Edinburgh and Johns Hopkins U,Male,NA
40,Pedro Larranaga,Technical U Madrid,Male,NA
40,Brian Neil Levine,U Mass| Amherst,Male,NA
40,Rupak Majumdar,Max Planck and UCLA,Male,NA
40,Maja Mataric,USC,Male,NA
40,John Mitchell,Stanford,Male,ACM Fellow 
40,David McAllester,Toyota Tech Inst,Male,AAAI Fellow 
40,John McCarthy,Stanford,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering 
40,Mira Mezini,TU Darmstadt,Male,NA
40,Luc Moreau,U Southampton,Male,NA
40,Oscar Nierstrasz,U Bern,Male,NA
40,David Notkin,U Washington,Male,ACM Fellow| IEEE Fellow 
40,John Owens,UC Davis,Male,NA
40,Yi Pan,Georgia State U,Male,NA
40,Mark Pauly,EPFL,Male,NA
40,Andrzej Pelc,U Quebec en Outaouais,Male,NA
40,David Pennock,Microsoft,Male,NA
40,Charles E. Perkins,Nokia-Siemens Networks,Male,NA
40,Michael O. Rabin,Harvard,Male,Turing Award| Member of the National Academy of Sciences| Member of the French Academy of Sciences| Member of the Israel Academy of Sciences and Humanities| IACR Fellow| Member of the American Academy of Arts & Sciences 
40,Raymond Reiter,U Toronto,Male,ACM Fellow 
40,Pablo Rodriguez Rodriguez,Telefonica Research,Male,NA
40,Yehoshua Sagiv,Hebrew U,Male,NA
40,Sunita Sarawagi,IIT Bombay,Male,NA
40,Mihaela van der Schaar,UCLA,Male,IEEE Fellow 
40,Andrea Schaerf,U Udine,Male,NA
40,Assaf Schuster,Technion,Male,NA
40,Cyrus Shahabi,USC,Male,IEEE Fellow 
40,Linda Shapiro,U Washington,Female,NA
40,Anand Sivasubramaniam,Penn State,Male,NA
40,Gurindar S. Sohi,U Wisconsin,Male,ACM Fellow| IEEE Fellow 
40,Jacques Stern,ENS| Paris,Male,IACR Fellow 
40,S. Sudarshan,IIT Bombay,Male,ACM Fellow 
40,Paul Syverson,U.S. Naval Research Laboratory,Male,ACM Fellow 
40,Christian Theobalt,Max-Planck-Institute and Saarland U,Male,NA
40,Patrick Thiran,EPFL,Male,NA
40,John K. Tsotsos,York U| Canada,Male,FRSC 
40,Ruediger Urbanke,EPFL,Male,NA
40,Frits Vaandrager,Radboud U Nijmegen,Male,NA
40,Leslie Valiant,Harvard,Male,Turing Award| ACM Fellow 
40,Maria Amparo Vila,U Granada| Spain,Male,NA
40,James H. Wilkinson,National Physical Laboratory| England,Male,Turing Award 
40,Xing Xie,Microsoft,Male,NA
40,Shuicheng Yan,National U Singapore,Male,NA
40,Moshe Zukerman,City U of Hong Kong,Male,IEEE Fellow 
