H-index,Name,Organization,Gender,Award and Membership
84,Shankar Sastry,Berkeley,Male,NA
83,Judea Pearl,UCLA,Male,Turing Award| IEEE Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| Member of the American Academy of Arts & Sciences 
82,Marco Dorigo,U Libre de Bruxelles,Male,IEEE Fellow| ECCAI Fellow| IEEE Frank Rosenblatt Award 
82,Jose Joaquin Garcia-Luna-Aceves,UC Santa Cruz and PARC,Male,ACM Fellow| IEEE Fellow| AAAS Fellow| Corresponding Member of the Mexican Academy Sciences| IEEE Technical Achievement Award 
82,Mark Horowitz,Stanford,Male,ACM Fellow 
82,Katia Sycara,CMU,Female,IEEE Fellow| AAAI Fellow 
82,Robert Tarjan,Princeton,Male,Turing Award| ACM Fellow| Member of the National Academy of Engineering| Member of the National Academy of Sciences| SIAM Fellow| Member of the American Academy of Arts & Sciences 
81,Martin Abadi,Google and UC Santa Cruz ,Male,ACM Fellow| AAAS Fellow 
81,Noga Alon,Tel Aviv U,Male,NA
81,Trevor Darrell,Berkeley,Male,NA
81,Ben Shneiderman,U Maryland,Male,ACM Fellow| AAAS Fellow| Member of the National Academy of Engineering 
80,Dimitri Bertsekas,MIT,Male,NA
80,Alon Halevy [Alon Levy],Google,Male,ACM Fellow 
80,James Hendler,RPI,Male,IEEE Fellow| AAAI Fellow| BCS Fellow| AAAS Fellow 
80,Hojjat Adeli,Ohio State U,Male,IEEE Fellow| AAAS Fellow| AIMBE Fellow| American Neurological Association Fellow| Member of the Spanish Royal Academy of Engineering 
80,Mani B. Srivastava,UCLA,Male,IEEE Fellow 
80,Jennifer Widom,Stanford,Female,ACM Fellow| Member of the National Academy of Engineering 
79,Rama Chellappa,U Maryland,Male,ACM Fellow| IEEE Fellow| IAPR Fellow| OSA Fellow| AAAS Fellow| IEEE Technical Achievement Award 
79,Pavel Pevzner,UCSD,Male,ACM Fellow| ISCB Fellow 
78,Dinesh Manocha,UNC,Male,ACM Fellow| IEEE Fellow| AAAS Fellow 
78,Klaus-Robert M??ller,TU Berlin,Male,NA
78,Hermann Ney,RWTH Aachen,Male,IEEE Fellow| IEEE Technical Achievement Award 
