Rank,Name,Net Worth,Age,Residence,Source,Gender
156,Rick Caruso,3.7 B,57,Brentwood  CA,real estate,Male
156,Martha Ingram,3.7 B,81,Nashville  TN,book distribution  transportation,Female
156,H. Fisk Johnson,3.7 B,58,Racine  WI,cleaning products,Male
156,Imogene Powers Johnson,3.7 B,86,Racine  WI,cleaning products,Female
156,S. Curtis Johnson,3.7 B,61,Racine  WI,cleaning products,Male
156,Helen Johnson-Leipold,3.7 B,59,Racine  WI,cleaning products,Female
156,Winnie Johnson-Marquart,3.7 B,57,Virginia Beach  VA,cleaning products,Female
156,Marianne Liebmann,3.7 B,63,Bozeman  MT,Cargill,Female
156,Mary Alice Dorrance Malone,3.7 B,66,Coatesville  PA,Campbell Soup,Female
156,Clayton Mathile,3.7 B,75,Brookville  OH,pet food,Male
156,Igor Olenicoff,3.7 B,74,Lighthouse Point  FL,real estate,Male
156,Frederick Smith,3.7 B,72,Memphis  TN,FedEx,Male
156,Jerry Speyer,3.7 B,76,New York  NY,real estate,Male
156,Steven Spielberg,3.7 B,69,Pacific Palisades  CA,Movies,Male
156,Donald Trump,3.7 B,70,New York  NY,television  real estate,Male
174,Bubba Cathy,3.6 B,62,Atlanta  GA,Chick-Fil-A,Male
174,Dan Cathy,3.6 B,63,Atlanta  GA,Chick-Fil-A,Male
174,Dan Friedkin,3.6 B,51,Houston  TX,Toyota dealerships,Male
174,Jimmy Haslam,3.6 B,62,Knoxville  TN,gas stations  retail,Male
174,Randal Kirk,3.6 B,62,NA,pharmaceuticals,Male
174,Bernard Marcus,3.6 B,87,Atlanta  GA,Home Depot,Male
174,Isaac Perlmutter,3.6 B,74,Palm Beach  FL,Marvel comics,Male
174,Julian Robertson  Jr.,3.6 B,84,Locust Valley  NY,hedge funds,Male
174,Jeff Sutton,3.6 B,56,New York  NY,real estate,Male
174,Joan Tisch,3.6 B,89,New York  NY,diversified,Female
184,Dagmar Dolby,3.5 B,75,San Francisco  CA,Dolby Laboratories,Female
184,Archie Aldis Emmerson,3.5 B,87,Redding  CA,timberland  lumber mills,Male
184,Ken Fisher,3.5 B,66,Camas  WA,money management,Male
184,Robert McNair,3.5 B,79,Houston  TX,energy  sports,Male
184,Michael Milken,3.5 B,70,Los Angeles  CA,investments,Male
184,Steven Udvar-Hazy,3.5 B,70,Beverly Hills  CA,aircraft leasing,Male
190,Anthony Pritzker,3.4 B,55,Los Angeles  CA,hotels  investments,Male
190,Jay Robert (J.B.) Pritzker,3.4 B,51,Chicago  IL,hotels  investments,Male
190,Donald Sterling,3.4 B,82,Beverly Hills  CA,real estate,Male
190,Roger Wang,3.4 B,67,Nanjing,retail,Male
194,Nathan Blecharczyk,3.3 B,33,San Francisco  CA,Airbnb,Male
194,John Catsimatidis,3.3 B,68,New York  NY,oil  real estate,Male
194,Brian Chesky,3.3 B,35,San Francisco  CA,Airbnb,Male
194,David Filo,3.3 B,50,Palo Alto  CA,Yahoo,Male
194,Joe Gebbia,3.3 B,35,San Francisco  CA,Airbnb,Male
194,Tom Gores,3.3 B,52,Beverly Hills  CA,private equity,Male
194,Jeff Greene,3.3 B,62,Palm Beach  FL,real estate  investments,Male
194,John Overdeck,3.3 B,46,Millburn  NJ,hedge funds,Male
194,Bernard Saul  II.,3.3 B,84,Chevy Chase  MD,banking  real estate,Male
194,David Siegel,3.3 B,55,Scarsdale  NY,Hedge Funds,Male
204,Neil Bluhm,3.2 B,78,Chicago  IL,real estate,Male
204,Leon G. Cooperman,3.2 B,73,Short Hills  NJ,hedge funds,Male
204,Mark Cuban,3.2 B,58,Dallas  TX,online media,Male
204,Jack & Laura Dangermond,3.2 B,71,Redlands  CA,mapping software,Male
204,Edward DeBartolo  Jr.,3.2 B,70,Tampa  FL,shopping centers,Male
204,Ronald Lauder,3.2 B,72,New York  NY,Estee Lauder,Male
204,George Lindemann,3.2 B,80,Palm Beach  FL,investments,Male
204,Robert Pera,3.2 B,38,San Jose  CA,wireless networking gear,Male
204,Clemmie Spangler  Jr.,3.2 B,84,Charlotte  NC,investments,Male
204,Harry Stine,3.2 B,75,Adel  IA,agriculture,Male
214,Arthur Blank,3.1 B,74,Atlanta  GA,Home Depot,Male
214,John Paul DeJoria,3.1 B,72,Austin  TX,hair products  tequila,Male
214,Kieu Hoang,3.1 B,72,Westlake Village  CA,medical products,Male
214,Amos Hostetter  Jr.,3.1 B,79,Boston  MA,cable television,Male
214,Thomas Pritzker,3.1 B,66,Chicago  IL,hotels  investments,Male
214,David Rockefeller  Sr.,3.1 B,101,Sleepy Hollow  NY,real estate  investments,Male
214,Henry Samueli,3.1 B,62,Newport Beach  CA,semiconductors,Male
214,Lynn Schusterman,3.1 B,77,Tulsa  OK,oil & gas  investments,Female
222,Do Won & Jin Sook Chang,3 B,60,Beverly Hills  CA,fashion retail,Male
222,Bennett Dorrance,3 B,70,Paradise Valley  AZ,Campbell Soup,Male
222,Allan Goldman,3 B,73,New York  NY,real estate,Male
222,Jane Goldman,3 B,61,New York  NY,real estate,Female
222,Amy Goldman Fowler,3 B,62,Rhinebeck  NY,real estate,Female
222,Diane Kemper,3 B,71,New York  NY,real estate,Female
222,Michael Moritz,3 B,62,San Francisco  CA,venture capital,Male
222,Kevin Plank,3 B,44,Lutherville-Timonium  MD,Under Armour,Male
222,Herbert Simon,3 B,82,Indianapolis  IN,real estate,Male
222,Romesh T. Wadhwani,3 B,69,Palo Alto  CA,software,Male
232,John Arnold,2.9 B,42,Houston  TX,hedge funds,Male
232,Andrew & Peggy Cherng,2.9 B,NA,Las Vegas  NV,restaurants,Male
232,Tom Golisano,2.9 B,75,Naples  FL,payroll services,Male
232,James Leprino,2.9 B,79,Indian Hills  CO,cheese,Male
232,Wilbur Ross  Jr.,2.9 B,79,Palm Beach  FL,investments,Male
232,Haim Saban,2.9 B,72,Beverly Hills  CA,TV network  investments,Male
232,Howard Schultz,2.9 B,63,Seattle  WA,Starbucks,Male
239,Robert Bass,2.8 B,68,Fort Worth  TX,oil  investments,Male
239,Charles Cohen,2.8 B,64,New York  NY,real estate,Male
239,Peter Kellogg,2.8 B,74,Short Hills  NJ,investments,Male
239,Kenneth Langone,2.8 B,81,Sands Point  NY,investments,Male
239,Jorge Perez,2.8 B,67,Miami  FL,real estate,Male
239,Richard Schulze,2.8 B,75,Bonita Springs  FL,Best Buy,Male
239,Oprah Winfrey,2.8 B,62,Montecito  CA,TV shows,Female
246,Jim Breyer,2.7 B,55,Woodside  CA,venture capital,Male
246,Barry Diller,2.7 B,74,New York  NY,online media,Male
246,Kenneth Feld,2.7 B,68,Tampa  FL,circus  live entertainment,Male
246,Tilman Fertitta,2.7 B,59,Houston  TX,restaurants  casinos,Male
246,B. Wayne Hughes,2.7 B,83,Lexington  KY,self storage,Male
246,Min Kao,2.7 B,67,Leawood  KS,navigation equipment,Male
246,Douglas Leone,2.7 B,59,Atherton  CA,venture capital,Male
246,John Middleton,2.7 B,61,Bryn Mawr  PA,tobacco,Male
246,Daniel Och,2.7 B,55,Scarsdale  NY,hedge funds,Male
246,A. Jerrold Perenchio,2.7 B,85,Bel Air  CA,television  Univision,Male
246,J. Christopher Reyes,2.7 B,62,Hobe Sound  FL,food distribution,Male
246,Jude Reyes,2.7 B,61,Palm Beach  FL,food distribution,Male
246,Gary Rollins,2.7 B,72,Atlanta  GA,pest control,Male
246,Randall Rollins,2.7 B,85,Atlanta  GA,pest control,Male
246,Mark Shoen,2.7 B,66,Phoenix  AZ,U-Haul,Male
246,Peter Thiel,2.7 B,49,San Francisco  CA,Facebook  Palantir,Male
246,Steve Wynn,2.7 B,74,Las Vegas  NV,casinos  hotels,Male
246,Mortimer Zuckerman,2.7 B,79,New York  NY,real estate  media,Male
264,Riley Bechtel,2.6 B,64,San Francisco  CA,engineering  construction,Male
264,Stephen Bechtel  Jr.,2.6 B,91,San Francisco  CA,engineering  construction,Male
264,Robert Duggan,2.6 B,72,Clearwater  FL,pharmaceuticals,Male
264,Doris Fisher,2.6 B,85,San Francisco  CA,Gap,Female
264,H. Wayne Huizenga,2.6 B,78,Fort Lauderdale  FL,investments,Male
264,Daniel Loeb,2.6 B,54,New York  NY,hedge funds,Male
264,David Murdock,2.6 B,93,Ventura  CA,Dole  real estate,Male
264,Pat Stryker,2.6 B,60,Fort Collins  CO,medical equipment,Female
264,William Wrigley  Jr.,2.6 B,53,North Palm Beach  FL,chewing gum,Male
264,Anita Zucker,2.6 B,64,Charleston  SC,chemicals,Female
274,Tom Benson,2.5 B,89,New Orleans  LA,New Orleans Saints,Male
274,David Bonderman,2.5 B,74,Fort Worth  TX,private equity,Male
274,John Brown,2.5 B,82,Portage  MI,medical equipment,Male
274,Bharat & Neerja Sethi Desai,2.5 B,64,Fisher Island  FL,IT consulting,Male
274,Don Hankey,2.5 B,73,Malibu  CA,auto loans,Male
274,Joshua Harris,2.5 B,51,New York  NY,private equity,Male
274,Bill Haslam,2.5 B,58,Knoxville  TN,truck stops,Male
274,Henry Hillman,2.5 B,97,Pittsburgh  PA,investments,Male
274,James Irsay,2.5 B,57,Carmel  IN,Indianapolis Colts,Male
274,Stephen Mandel  Jr.,2.5 B,60,Greenwich  CT,hedge funds,Male
274,C. Dean Metropoulos,2.5 B,70,Palm Beach  FL,investments,Male
274,Henry Nicholas  III.,2.5 B,57,Newport Coast  CA,semiconductors,Male
274,Marc Rowan,2.5 B,54,New York  NY,private equity,Male
274,Phillip Ruffin,2.5 B,81,Las Vegas  NV,casinos  real estate,Male
274,Robert Smith,2.5 B,54,Austin  TX,private equity,Male
274,Ty Warner,2.5 B,72,Oak Brook  IL,real estate  plush toys,Male
290,George Bishop,2.4 B,79,The Woodlands  TX,oil & gas,Male
290,Peter Buck,2.4 B,85,Danbury  CT,Subway sandwich shops,Male
290,William Conway  Jr.,2.4 B,67,McLean  VA,private equity,Male
290,Daniel D'Aniello,2.4 B,70,Vienna  VA,private equity,Male
290,Ray Davis,2.4 B,74,Dallas  TX,pipelines,Male
290,Bill Gross,2.4 B,72,Laguna Beach  CA,investments,Male
290,John Henry,2.4 B,67,Boca Raton  FL,sports,Male
290,Sean Parker,2.4 B,37,New York  NY,Facebook,Male
290,Bob Parsons,2.4 B,66,Scottsdale  AZ,web hosting,Male
290,Jean (Gigi) Pritzker,2.4 B,54,Chicago  IL,hotels  investments,Female
290,Penny Pritzker,2.4 B,57,Washington  DC,hotels  investments,Female
290,David Rubenstein,2.4 B,67,Bethesda  MD,private equity,Male
290,Patrick Ryan,2.4 B,79,Winnetka  IL,insurance,Male
290,Julio Mario Santo Domingo  III.,2.4 B,31,New York  NY,beer,Male
290,Thomas Secunda,2.4 B,62,Croton-on-Hudson  NY,Bloomberg LP,Male
290,Alexander Spanos,2.4 B,93,Stockton  CA,real estate  San Diego Chargers,Male
290,Warren Stephens,2.4 B,59,Little Rock  AR,investment banking,Male
290,Mark Walter,2.4 B,56,Chicago  IL,finance,Male
290,Denise York,2.4 B,66,Youngstown  OH,San Francisco 49ers,Female
309,John Arrillaga,2.3 B,79,Portola Valley  CA,real estate,Male
309,Noam Gottesman,2.3 B,55,New York  NY,hedge funds,Male
309,Johnelle Hunt,2.3 B,84,Fayetteville  AR,trucking,Female
309,Edward Lampert,2.3 B,54,Miami Beach  FL,Sears,Male
309,Jay Paul,2.3 B,69,San Francisco  CA,real estate,Male
309,Richard Peery,2.3 B,78,Palo Alto  CA,real estate,Male
309,John Pritzker,2.3 B,63,San Francisco  CA,hotels  investments,Male
309,Michael Rubin,2.3 B,44,Bryn Mawr  PA,online retail,Male
