Rank,Name,Net Worth,Age,Source,Gender
169,Chi Yufeng,$1.6 B,45,software,Male
169,Dong Fan,$1.6 B,46,medical devices,Male
169,Gu Yuhua,$1.6 B,67,Furniture,Male
169,Huo Qinghua,$1.6 B,55,coal,Male
169,Wong Kwong Yu,$1.6 B,47,retail,Male
169,Ye Cheng,$1.6 B,54,conglomerate,Male
169,Yu Minhong,$1.6 B,54,education,Male
176,Chen Qixing,$1.59 B,57,electronic components,Male
176,Zhang Anqiang,$1.59 B,60,software,Male
178,Huang Wenji,$1.56 B,47,umbrellas,Male
178,Shen Wenrong,$1.56 B,70,steel production,Male
180,Wang Jiufang,$1.55 B,53,real estate,Male
181,Hu Kaijun,$1.54 B,54,pharmaceuticals,Male
182,Ke Xiping,$1.53 B,56,investments,Male
182,Liang Yunchao,$1.53 B,47,nutrition supplements,Male
182,Xu Ziquan,$1.53 B,58,software,Male
185,Liu Baolin,$1.52 B,63,pharmacies  drug distribution,Male
186,Que Wenbin,$1.51 B,53,pharmaceuticals,Male
187,Chan Hung To,$1.5 B,NA,beverages,Male
187,Dou Zhenggang,$1.5 B,63,energy  waste  chemicals,Male
187,Huang Chulong,$1.5 B,57,real estate,Male
187,Huang Wen Tsai,$1.5 B,63,real estate,Male
187,Liang Zhaoxian,$1.5 B,51,appliances,Male
187,Sun Shangchuan,$1.5 B,53,electronics components,Male
193,Chen Qingzhou,$1.49 B,51,communications equipment,Male
193,Han Tao,$1.49 B,56,electronics components,Male
193,Qi Jinxing,$1.49 B,54,real estate,Male
193,Sun Shoukuan,$1.49 B,67,metals. coal,Male
193,Zhou Hongyi,$1.49 B,46,security software,Male
198,Chen Dakui,$1.48 B,65,shrink-wrap film,Male
198,Fu Meicheng,$1.48 B,59,TV shows  movies,Male
200,Zhou Guohui,$1.47 B,51,logistics,Male
201,Wang Jing,$1.46 B,43,telecom services,Male
202,Liu Xiaodong,$1.45 B,49,flavorings,Male
203,King Pak Fu,$1.44 B,46,real estate,Male
203,Wu Daohong,$1.44 B,50,Beijing Shenwu Thermal Energy Technology,Male
205,Meisong Lai,$1.43 B,NA,package delivery service,Male
205,Liu Zhiqiang,$1.43 B,52,conglomerate,Male
205,Ni Zhaoxing,$1.43 B,60,real estate,Male
208,Chen Baozhen,$1.42 B,73,internet,Female
208,Wu Yiling,$1.42 B,67,pharmaceuticals,Male
210,Tian Ming,$1.41 B,62,measuring instruments,Male
210,Wang Zhenghua,$1.41 B,72,budget airline,Male
212,Ding Yuhua,$1.4 B,68,tyre,Male
212,Jiang Yehua,$1.4 B,53,real estate,Male
212,Jiang Zhaobai,$1.4 B,53,real estate,Male
212,Su Suyu,$1.4 B,68,utility,Female
212,Wang Chaobin,$1.4 B,60,real estate,Male
212,Wang Han,$1.4 B,29,airline  diversified,Male
212,Wang Junjin,$1.4 B,48,regional airline,Male
212,Xu Qiming,$1.4 B,53,food  art,Male
212,Zhao Weiguo,$1.4 B,49,technology,Male
221,Tianfu Lin,$1.39 B,54,footwear  apparel,Male
221,Liu Xuejing,$1.39 B,65,copper  poultry,Male
223,Bao Hongxing,$1.38 B,NA,agribusiness,Male
223,Gu Wei,$1.38 B,51,consumer electronics,Male
223,Lo Siu Yu,$1.38 B,46,conglomerate,Male
226,Li Weiwei,$1.37 B,39,online games,Male
226,Lou Zhongfu,$1.37 B,62,real estate,Male
226,Nie Tengyun,$1.37 B,40,logistics,Male
