CID,CSRankingAI,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
24,20,0.083499006,0.138461538,0.254237288,0.413461538,0.161764706,0.485148515,0.074074074,0.342105263,0.217821782,0.657407407,0.639344262,0.87962963,0.235614779,0.579713691,0.367677458,1,0.26206054,0.403030303,0.473756906,0,0.16406209,0.177794845,0.211867523,0.741169321,0.217877095,0.052336126,0.915471262,0.13999916,0.875,0.098265896,0.129156879,0.3,0.873015873,0.130434783,0.112903226,0.108187135,0.577571826,0.563855421,0,0,0,0,0.875,1,3,1,1,1,3,1,3,1,4,3,3,3,1,3,3,3,3,3,3,3,3,3
29,22,0.077534791,0.092307692,0.338983051,0.432692308,0.426470588,0.653465347,0.209876543,0.535087719,0.237623762,0.666666667,0.336065574,0.685185185,0.353422168,0.442729545,0.131357308,1,0.135577576,0.909090909,0.720994475,0.722308892,0.201914495,0,0.606046893,0.468834326,0.111731844,0.178685551,0.390006739,0.0666676,1,0.075144509,0.074269207,0.6,0.619047619,0.086956522,0.080645161,0.087719298,0,0.583098591,1,-1,-1,-1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3
28,23,0.065606362,0.215384615,0.305084746,0.423076923,0.382352941,0.673267327,0.172839506,0.578947368,0.297029703,0.759259259,0.532786885,0.851851852,0.321926105,0.719861565,0.044725378,0.515390047,0.468413194,0.696969697,0.61878453,0,0.142852143,0.189459031,0.324518483,0.685340951,0.502793296,0,0.559314528,0.09333744,0.75,0.190751445,0.228530722,0.6,0.603174603,0.253623188,0.397849462,0.409356725,0.378764897,0.24084507,0.034663866,0,0.133,0.441798942,0.75,2,4,1,0,1,3,1,3,3,4,3,4,2,3,3,2,3,3,3,3,3,3,2
47,24,0.06361829,0.076923077,0.169491525,0.307692308,0.117647059,0.455445545,0.111111111,0.51754386,0.00990099,0.111111111,0.56557377,0.851851852,0.439127801,0.640418801,0.053318527,1,0.560513099,0.606060606,0.921270718,0.928627145,0.116672208,0.48000768,0,0.83928528,0.173184358,0.107954055,0.730932897,0.127273236,0.75,0,0.018014788,0.433333333,0.857142857,0.007246377,0.005376344,0.032163743,0.612454213,0.685714285,0,0,0,0,0.75,1,2,1,1,1,2,3,1,1,1,1,2,4,4,3,1,2,3,3,3,2,1,2
35,24,0.06361829,0.092307692,0.254237288,0.317307692,0.102941176,0.336633663,0.037037037,0.210526316,0.396039604,0.759259259,0.221311475,0.546296296,0.537250151,0.637884323,0.263876313,1,0.273571332,0.575757576,0.357734807,0,0.120697198,0.15998656,0.650960206,0.636696244,0.162011173,0.304810433,1,0,0.875,0.104046243,0.086161836,0.4,0.365079365,0.101449275,0.061827957,0.067251462,0.546898262,0.203225807,0,0,1,0,0.875,3,2,1,1,1,3,1,3,1,1,3,3,3,3,1,4,1,1,1,1,2,3,3
18,26,0.059642147,0.230769231,1,0.932692308,0.808823529,0.98019802,0.24691358,0.728070175,0.762376238,0.962962963,0.459016393,0.759259259,0.122047244,0.895509605,0,1,0.166485679,0.448484848,0,0,0.32812418,0.266692267,0.145317759,0.817709979,0.061452514,0.1919164,0.950495812,0,0.875,0.011560694,0.028319861,0,0.634920635,0.014492754,0.045698925,0.070175439,0.501098902,0.45,0,0,0,0.611111111,0.875,1,2,1,1,1,3,1,1,2,1,3,1,1,4,3,1,3,1,3,1,2,3,3
8,26,0.059642147,0.230769231,0.118644068,0.240384615,0.088235294,0.356435644,0.074074074,0.377192982,0.089108911,0.462962963,0.647540984,0.87962963,0.453664446,0.810316198,0.080071752,0.937069037,0.329930772,0.606060606,0.752762431,0.265340614,0.148312129,0.290932655,0.279378907,0.57542239,0.318435754,0.267605147,0.941965919,0.151353092,1,0.317919075,0.332195171,0.5,0.666666667,0.333333333,0.397849462,0.359649123,0.629585798,0.193846154,0.425420168,0,0,0.142857143,1,5,4,1,1,1,3,1,3,1,1,3,3,1,1,3,1,3,3,3,3,3,3,3
26,28,0.049701789,0.061538462,0.474576271,0.528846154,0.205882353,0.554455446,0.160493827,0.578947368,0.277227723,0.666666667,0.278688525,0.555555556,0.335857056,0.750187901,0.010814043,0.799015535,0.50234831,0.065151515,0.741712707,0.361154446,0.184204539,0.63999424,0.419803716,0.568968032,0.217877095,0.300388635,0.434235102,0.087499475,1,0.173410405,0.129746394,0.466666667,0.777777778,0.173913043,0.271505376,0.368421053,0.458338461,0.3168,0,0.11033275,0.063,0,1,5,4,0,0,1,3,3,1,1,1,3,1,1,1,3,1,3,3,3,3,3,3,3
48,29,0.045725646,0.046153846,0.406779661,0.557692308,0.279411765,0.623762376,0.197530864,0.675438596,0.207920792,0.592592593,0.180327869,0.37962963,0.27195639,0.720473336,0,0.785141647,0.38762047,0.303030303,0.552486188,0.44825793,0.184204539,0.411414583,0.367423707,0.856569831,0.290502793,0.387753692,0.752844902,0.17499895,1,0.190751445,0.182671442,-1,-1,0.173913043,0.293010753,0.368421053,0.608,0.3888,0,0.218914186,0,0.111111111,1,5,4,1,0,1,3,1,3,1,1,3,1,3,3,3,3,3,1,3,3,3,1,3
40,30,0.041749503,0.123076923,0.355932203,0.432692308,0.411764706,0.663366337,0.333333333,0.666666667,0.257425743,0.666666667,0.155737705,0.342592593,0.264082374,0.591424726,0.024651918,0.948076763,0.1836297,0.515151515,0.578729282,0.245319813,0.452583869,0.2250276,0.475181718,0.707621247,0.335195531,0.275360567,0.75554058,0.10499937,0.75,0.306358382,0.328611198,0.633333333,0.761904762,0.31884058,0.465053763,0.476608187,0.444637053,0.304225353,0.262605042,0,0.025,0,0.75,5,4,1,1,1,2,1,3,1,4,3,1,4,2,1,1,3,3,3,3,3,3,3
