CID,CSRankingPL,Average Count,Faculty,R Rankings:5thPercentile,R Rankings:95thPercentile,S Rankings:5thPercentile,S Rankings:95thPercentile,Research Activity:5thPercentile,Research Activity:95thPercentile,Student Support& Outcomes:5thPercentile,Student Support& Outcomes:95thPercentile,Diversity:5thPercentile,Diversity:95thPercentile,"Average Number of Publications (2000-2006) per Allocated Faculty, 2006","Percent of Faculty with Grants,2006","Awards per Allocated Faculty Member, 2006","Percent of First Year Students with Full Financial Support,Fall 2005",Avg. Completion Percentage: 8 Years or Less for Humanities; 6 Years or Less for Other Fields,"Median Time to Degree (Full- and Part-Time Graduates),2006",Percent with Academic Plans,"Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty, 2006","Female Faculty as a Percent of Total Core and New Faculty, 2006","Non-Asian Minority Students as a Percent of Total Domestic Students, Fall 2005","Female Students as a Percent of Total Students, Fall 2005","International Students as a Percent of Total Students,Fall 2005","Average Number of  Ph.D.s Graduated, 2002-2006","Percent of Interdisciplinary Faculty, 2006","Average GRE Scores,2004-2006","Percent of First Year Students with External Fellowships, 2005",Number of Student Activities(Max=18),"Total Faculty, 2006","Number of Allocated Faculty, 2006","Assistant Professors as a Percent of Total Faculty, 2006","Tenured Faculty as a Percent of Total Faculty, 2006","Number of Core and New Faculty, 2006","Number of Students Enrolled, Fall 2005","Average Annual First Year Enrollment, 2002-2006","Percent of Students with Research Assistantships, Fall 2005","Percent of Students with Teaching Assistantships, Fall 2005",Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships,Count of Student Activities,Regional Code 1=NE 2=MW 3=SA 4=SC 5=W,Program Size Quartile,Collects Data About Post-Graduation Employment (1=Yes; 0=No),Is Student Work Space Provided? (1=Yes; 0=No),Is Health Insurance Provided? (1=Yes; 0=No),Orientation for New Graduate Students,International Student Orientation,Language Screening / Support Prior to Teaching,Instruction in Writing,Instruction in Statistics,Prizes / Awards for Teaching or Research,Assistance / Training in Proposal Writing,On-campus Graduate Research Conferences,Formal Training in Academic Integrity,Active Graduate Student Association,Staff Assigned to the Graduate Student Association,Financial Support for the Graduate Student Association,Posted Academic Grievance Procedure,Dispute Resolution Procedure,Regular Graduate Programs Directors / Coordinators Meetings,Annual Review of All Enrolled Doctoral Students,Organized Training to Help Students Improve Teaching Skills,Travel Support to Attend Professional Meetings
15,21,0.134969325,0.384615385,0.152542373,0.25,0.134328358,0.494949495,0.061728395,0.359649123,0.455445545,0.787037037,0.696721311,0.907407407,0.350999394,0.768541015,0.19383275,0.901096619,0.171996742,0.703030303,0.449871465,0.419396776,0.243056892,0.272740364,0.242190273,0.460314356,0.301675978,0.458260644,0.864349668,0.073681558,0.875,0.186046512,0.185297777,0.466666667,-1,0.15942029,0.306451613,0.383040936,0.621409359,0.276923077,0,0.092819615,0,0.277777778,0.875,2,4,1,1,1,3,1,3,3,4,3,1,1,3,3,1,1,3,3,3,2,3,3
39,22,0.128834356,0.269230769,0.610169492,0.7,0.402985075,0.656565657,0.271604938,0.605263158,0.356435644,0.833333333,0.278688525,0.648148148,0.366444579,0.263777945,0.157358845,1,0.176829103,0.56969697,0.771208226,0,0.166669583,0,0.507809727,0.737551639,0.05027933,0.150202954,0.60063541,0.155553067,0.625,0.034883721,0.0380906,0.366666667,0.80952381,0.050724638,0.048387097,0,0.467692308,0.719999999,0,0.194395797,0,0,0.625,2,2,0,1,1,3,1,1,1,1,1,1,3,-1,3,-1,1,1,-1,2,2,1,2
53,22,0.128834356,0.076923077,0.254237288,0.87,0.402985075,0.666666667,0.666666667,0.929824561,0,0,0.016393443,0.185185185,0.038158692,0.528307493,0,1,1,0,0.570694087,0,1,0.24000384,1,0,0,0.304810433,0.6035814,0.17499895,1,0,0,0.2,0.317460317,0,0,0.014619883,0.389743589,0.507692307,0,0,0.187406297,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,1,3,2,1,3
9,24,0.110429448,0.346153846,0.06779661,0.15,0.059701493,0.252525253,0.049382716,0.298245614,0.02970297,0.222222222,0.606557377,0.898148148,0.231677771,0.708692384,0.432083369,1,0.684674902,0.606060606,0.607969152,0,0.218749453,0,0.168559934,0.789153976,0.284916201,0.10159772,1,0,0.875,0.197674419,0.185880508,0.7,0.53968254,0.246376812,0.247311828,0.233918129,0.655477856,0.272727273,0.429621849,0,0.682158921,0,0.875,1,4,1,1,1,3,1,1,1,1,3,3,2,4,3,1,1,1,1,3,2,1,3
29,25,0.104294479,0.076923077,0.338983051,0.45,0.432835821,0.666666667,0.209876543,0.535087719,0.237623762,0.666666667,0.336065574,0.685185185,0.353422168,0.442729545,0.131357308,1,0.135577576,0.909090909,0.670951157,0.722308892,0.201914495,0,0.587948172,0.471424381,0.111731844,0.178685551,0.390006739,0.0666676,1,0.069767442,0.074269207,0.6,0.619047619,0.086956522,0.080645161,0.087719298,0,0.583098591,1,-1,-1,-1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,1,3
36,26,0.098159509,0.230769231,0.355932203,0.42,0.089552239,0.373737374,0.061728395,0.394736842,0.188118812,0.675925926,0.62295082,0.87037037,0.329497274,0.913478177,0.135389083,1,0.365467626,0.606060606,0.857326478,0,0.194442014,0.711131378,0,0.708536019,0.055865922,0.172726488,1,0.17499895,0.625,0.075581395,0.073873784,0.566666667,0,0.094202899,0.077956989,0.032163743,0.93199554,0,0.919117647,0,0,0,0.625,4,2,0,1,1,3,1,4,1,1,4,2,2,3,3,4,3,1,1,1,2,1,3
50,27,0.079754601,0.153846154,0.610169492,0.68,0.52238806,0.737373737,0.518518519,0.842105263,0.237623762,0.648148148,0.139344262,0.324074074,0.056632344,0.579468983,0.045528316,0.653838166,0.245825981,0.303030303,0.673521851,0.722308892,0.159092102,0.423558777,0.433913146,0.811007358,0.145251397,0.996493652,0.614903244,0,0.75,0.505813953,0.296404358,0.4,0.682539683,0.217391304,0.180107527,0.32748538,0.558041958,0.593181819,0,0,0,0.097883598,0.75,3,3,1,0,1,3,1,1,1,1,3,4,1,4,3,3,3,1,1,3,3,1,3
22,27,0.079754601,0.307692308,0.06779661,0.15,0.029850746,0.141414141,0.024691358,0.140350877,0.059405941,0.314814815,0.401639344,0.722222222,0.771653543,0.714687735,0.1396942,1,0.502606217,0.303030303,0.562982005,0.520020801,0.241376897,0,0.263193705,0.792185094,0.268156425,0.254011573,0.864869548,0.2000028,1,0.098837209,0.112745103,0.5,0.825396825,0.108695652,0.182795699,0.19005848,0.519658119,0.183333333,0.050420168,0,0.928035982,0,1,5,3,1,1,1,3,1,3,3,1,3,1,3,1,3,1,1,1,1,3,2,3,1
30,27,0.079754601,0.038461538,0.813559322,0.86,0.373134328,0.727272727,0.259259259,0.798245614,0.128712871,0.62962963,0.336065574,0.657407407,0,0.952753841,0.054360639,1,0.225953577,0.303030303,0.551413882,1,0,0.92310277,0.35904035,0.458334352,0.055865922,0.675878746,0.75128526,0,0.625,0.034883721,0.031726165,0.666666667,0.603174603,0,0.021505376,0.035087719,0,0.4125,0.933823529,0,0,0,0.625,2,2,1,1,1,3,3,1,1,4,3,3,1,1,3,1,3,-1,-1,3,3,3,3
45,30,0.073619632,0.038461538,0.372881356,0.45,0.208955224,0.565656566,0.197530864,0.631578947,0.03960396,0.314814815,0.663934426,0.916666667,0.249848577,0.753246753,0.054941488,1,0.440885028,0.242424242,0.609254499,0,0.333339167,0,0.044610105,0.798186218,0.078212291,0.332170308,1,0,1,0.052325581,0.028930531,0.066666667,0.73015873,0.050724638,0.024193548,0.00877193,0,0,0.525210084,0,0.749625187,0,1,1,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1
